"","Time","Dedr","Age","Brt","Value","Claims"
"4189",1,99999,2.48,11.05,15.42,0
"4190",1,99999,2.48,11.05,16.36,0
"4191",0.14,99999,3.09,11.01,14.91,0
"4234",1,99999,1.79,11.05,15.42,0
"4235",0.63,99999,1.79,11.05,17.07,0
"4236",0.37,99999,1.79,11.05,17.15,0
"4237",1,99999,1.79,11.05,15.42,0
"4238",0.63,99999,1.79,11.05,17.07,0
"4239",0.37,99999,1.79,11.05,17.15,0
"4240",0.77,1e+05,3.04,10.53,15.61,1
"4280",1,150000,2.89,10.52,17.11,1
"4284",1,105000,3.09,10.01,16.05,0
"4287",1,250000,2.77,11.98,17.55,0
"4290",1,250000,2.71,11.98,17.55,0
"4293",1,99999,2.48,9.77,18.76,0
"4294",0.17,99999,2.48,9.77,18.76,0
"4298",0.9,1e+05,2.89,10,15.94,1
"4299",0.9,1e+05,2.89,10,15.94,0
"4307",1,250000,2.2,10.45,17.63,0
"4308",0.82,250000,2.77,11.68,16.92,0
"4309",1,2e+05,2.56,11.26,16.78,0
"4310",1,2e+05,2.77,11.27,16.31,0
"4311",1,2e+05,2.83,11.27,16.13,0
"4312",1,2e+05,2.83,11.44,15.61,0
"4313",1,250000,3.04,11.51,16.32,0
"4317",1,2e+05,2.94,10.23,16.82,0
"4318",1,150000,1.79,9.62,17.97,0
"4319",1,250000,1.79,11.36,17.51,0
"4320",1,250000,1.79,11.35,17.59,0
"4322",1,2e+05,1.61,11.34,17.52,0
"4323",1,2e+05,3.04,11.26,15.24,0
"4324",1,2e+05,3.04,11.26,15.24,0
"4325",1,1e+05,3.14,9.6,14.94,0
"4337",1,150000,2.89,10.49,17.11,1
"4345",0.79,1e+05,1.61,10.22,16.73,0
"4350",1,175000,3,11.17,16.59,0
"4351",1,175000,3,11.17,16.59,0
"4354",1,1e+05,2.56,10.16,16.5,0
"4359",0.6,1e+05,1.79,9.83,16.55,0
"4373",0.64,175000,2.3,11.43,16.94,1
"4374",0.36,175000,2.3,11.43,16.77,0
"4387",0.25,150000,2.71,10.06,16.45,0
"4388",0.25,150000,2.71,10.06,16.45,0
"4475",0.38,75000,2.89,10.02,16.08,0
"4595",0.57,250000,1.61,9.19,16.62,0
"4601",1,2e+05,1.61,11.59,17.5,0
"4602",1,2e+05,1.79,11.59,17.5,0
"4618",0.24,75000,3.04,9.3,15.79,0
"4627",0.6,1e+05,1.61,9.83,16.55,0
"4713",0.02,5e+05,2.94,10.33,17.32,0
"4715",1,5e+05,2.4,10.95,17.79,0
"4717",1,5e+05,1.95,11.06,17.79,0
"4762",1,2e+05,3.43,10.31,16.45,0
"4789",0.68,175000,2.08,11.31,17.06,0
"4790",0.32,175000,2.08,11.31,17.06,0
"4793",0.68,175000,2.08,11.25,17.01,0
"4794",0.32,175000,2.08,11.25,17.01,0
"4795",0.04,175000,2.83,11.38,16.55,0
"4796",0.63,175000,2.83,11.38,16.4,0
"4797",0.32,175000,2.83,11.38,16.4,0
"4798",0.23,175000,2.83,11.38,16.55,0
"4799",0.45,175000,2.83,11.38,16.4,0
"4800",0.32,175000,2.83,11.38,16.4,0
"4801",0.68,175000,2.77,11.33,16.35,0
"4802",0.32,175000,2.77,11.33,16.35,0
"4803",0.19,1e+05,3.09,10.49,16.2,0
"4806",0.68,175000,1.95,11.41,16.89,0
"4807",0.32,175000,1.95,11.41,16.89,0
"4808",0.68,175000,1.79,11.25,17.14,0
"4809",0.32,175000,1.79,11.25,17.14,0
"4900",1,5e+05,1.95,11.06,17.79,0
"4919",0.53,150000,3.09,10.75,16.12,0
"4920",0.53,150000,3.09,10.73,16.12,1
"4921",0.53,150000,3,10.73,16.21,0
"4922",0.53,150000,3,10.73,16.21,0
"4923",0.53,150000,3.04,10.73,16.12,0
"4924",0.53,150000,3.04,10.73,16.12,0
"4925",0.53,150000,3.04,10.72,16.12,0
"4946",1,150000,3.26,10.17,15.61,0
"4947",1,150000,3.26,10.17,15.61,0
"4948",1,150000,3.18,10.09,15.76,0
"4949",1,150000,3.18,10.09,15.76,0
"4950",1,150000,3.26,10.21,15.61,0
"4952",1,150000,3.26,10.21,15.61,0
"4953",1,150000,2.83,9.91,16.3,0
"4988",1,1e+05,3.09,8.26,15.61,2
"5019",0.84,150000,2.83,9.79,16.3,1
"5020",0.88,150000,2.89,9.79,16.3,0
"5021",1,1e+05,2.4,10.63,17.45,0
"5022",1,1e+05,2.4,10.63,17.4,0
"5023",0.17,1e+05,2.4,10.63,17.62,0
"5024",0.83,1e+05,2.4,10.63,17.58,0
"5025",0.17,1e+05,2.3,10.63,17.62,0
"5026",0.83,1e+05,2.3,10.63,17.58,0
"5027",0.17,1e+05,2.3,10.73,17.3,0
"5028",0.83,1e+05,2.3,10.73,17.11,0
"5029",0.17,1e+05,2.3,10.73,17.33,0
"5030",0.83,1e+05,2.3,10.73,17.12,0
"5031",1,1e+05,2.3,10.73,17.4,1
"5032",1,1e+05,2.2,10.73,17.45,0
"5033",1,1e+05,2.2,10.73,17.45,0
"5044",1,1e+05,3.04,10.01,15.98,0
"5046",1,65000,2.48,11.23,17.22,0
"5047",1,65000,2.48,11.23,17.22,0
"5050",1,45000,2.2,10.28,16.95,0
"5072",1,150000,2.4,11.06,17.35,0
"5091",1,1e+05,3.14,10.07,14.29,0
"5097",1,5e+05,1.79,10.17,17.32,0
"5147",0.75,1e+05,1.95,10.46,17.15,0
"5148",0.25,1e+05,1.95,10.46,17.15,0
"5149",0.38,1e+05,3,10.01,15.94,0
"5150",0.37,1e+05,3,10.01,15.5,0
"5151",0.25,1e+05,3,10.01,15.5,0
"5159",0.58,75000,3,9.74,15.8,1
"5160",0.42,75000,3,9.74,15.52,0
"5210",1,1e+05,2.08,9.35,16.52,0
"5211",0.58,1e+05,3.22,8.28,15.05,0
"5212",0.09,1e+05,3.18,9.09,15.32,0
"5213",0.91,1e+05,3.18,9.09,16.28,0
"5214",0.1,1e+05,3.3,9.03,15.25,1
"5215",0.59,1e+05,2.89,9.88,16.52,0
"5216",0.41,1e+05,2.89,9.88,16.12,0
"5217",0.59,1e+05,2.89,9.88,16.52,0
"5218",0.41,1e+05,2.89,9.88,16.12,0
"5219",0.59,1e+05,2.89,9.88,16.52,0
"5220",0.41,1e+05,2.89,9.88,16.12,0
"5229",1,1e+05,3.26,8.26,14.97,0
"5230",1,1e+05,3.3,8.26,15.02,0
"5231",0.75,1e+05,3.33,8.14,14.8,0
"5232",1,1e+05,2.89,9.85,16.91,0
"5233",1,1e+05,2.89,8.97,16.77,0
"5234",1,1e+05,2.56,9.56,16.5,0
"5237",0.59,1e+05,2.89,9.87,16.41,0
"5238",0.41,1e+05,2.89,9.87,16.12,0
"5239",0.59,1e+05,2.89,9.85,16.41,0
"5240",0.41,1e+05,2.89,9.85,16.12,0
"5241",0.5,1e+05,2.94,9.81,16.41,0
"5242",0.5,1e+05,2.94,9.81,16.94,0
"5244",1,150000,2.77,9.75,16.45,1
"5245",1,150000,2.83,9.77,16.45,0
"5249",1,150000,2.94,10.52,17.11,0
"5254",1,105000,3.14,9.79,16.02,0
"5257",0.5,250000,2.83,11.98,17.54,0
"5258",0.5,250000,2.83,11.98,17.27,0
"5263",0.5,250000,2.77,11.98,17.54,0
"5264",0.5,250000,2.77,11.98,17.27,0
"5267",1,1e+05,2.89,10.14,16.08,0
"5268",1,1e+05,2.94,10,15.94,0
"5269",1,1e+05,2.94,10,15.94,0
"5303",1,150000,2.94,10.49,17.11,1
"5324",0.75,1e+05,1.79,10.22,16.73,0
"5325",0.25,1e+05,1.79,10.22,16.73,0
"5326",0.75,1e+05,1.95,10.22,16.73,0
"5327",0.25,1e+05,1.95,10.22,16.73,0
"5339",1,5e+05,1.79,11.06,17.79,0
"5356",1,150000,2.77,10.06,16.45,0
"5357",1,150000,2.77,10.06,16.45,1
"5438",1,2e+05,1.79,11.59,17.34,0
"5439",1,2e+05,1.95,11.59,17.34,0
"5465",1,1e+05,3.09,10.53,15.61,1
"5469",0.63,1e+05,2.89,10.15,16.36,0
"5470",0.37,1e+05,2.89,10.15,16.12,0
"5471",0.63,1e+05,1.95,10.18,16.81,0
"5472",0.37,1e+05,1.95,10.18,16.71,0
"5473",0.63,1e+05,2.94,10.06,16.21,0
"5474",0.37,1e+05,2.94,10.06,15.89,0
"5475",0.63,1e+05,2.08,10.16,16.81,0
"5476",0.37,1e+05,2.08,10.16,16.65,0
"5477",0.63,1e+05,1.95,10.16,16.81,0
"5478",0.37,1e+05,1.95,10.16,16.71,0
"5481",0.02,1e+05,1.61,11.29,17.07,0
"5482",0.37,1e+05,1.61,11.29,16.91,0
"5483",0.51,1e+05,1.79,10.13,16.89,0
"5484",0.37,1e+05,1.79,10.13,16.79,0
"5485",0.6,1e+05,1.79,10.13,16.89,0
"5486",0.37,1e+05,1.79,10.13,16.79,0
"5489",1,1e+05,1.95,10.18,16.81,1
"5490",1,1e+05,2.4,10.09,16.79,0
"5496",1,1e+05,2.56,11.25,16.91,0
"5497",1,1e+05,1.95,9.8,16.83,0
"5498",1,1e+05,1.95,9.8,16.83,0
"5521",0.63,1e+05,3,10.33,16.42,0
"5522",0.18,1e+05,3,10.33,17.32,0
"5523",0.63,1e+05,3,10.33,16.42,0
"5524",0.12,1e+05,3,10.33,17.32,0
"5526",0.71,1e+05,3.3,10.44,15.49,0
"5554",0.75,75000,3.09,9.3,15.79,0
"5555",0.16,75000,3.09,9.3,15.79,0
"5558",1,75000,3.09,9.91,16.64,2
"5559",1,75000,2.89,9.92,16.33,0
"5560",1,75000,2.94,10.02,16.08,0
"5732",0.73,99999,2.89,11.21,15.42,0
"5733",0.73,99999,2.89,11.21,15.84,0
"5734",0.27,99999,2.3,11.06,15.42,0
"5735",0.27,99999,2.3,11.06,17.22,0
"5736",0.73,99999,2.3,11.06,15.42,0
"5737",0.73,99999,2.3,11.06,17.22,0
"5738",0.27,99999,1.95,11.35,15.42,0
"5739",0.27,99999,1.95,11.35,17.22,0
"5740",0.73,99999,1.95,11.35,15.42,0
"5741",0.23,99999,1.95,11.35,17.22,0
"5742",0.5,99999,1.95,11.35,17.01,0
"5743",0.27,99999,1.95,11.34,15.42,0
"5744",0.27,99999,1.95,11.34,17.22,0
"5745",0.73,99999,1.95,11.34,15.42,0
"5746",0.23,99999,1.95,11.34,17.22,0
"5747",0.5,99999,1.95,11.34,17.01,0
"5748",0.27,99999,2.4,11.42,15.42,0
"5749",0.27,99999,2.4,11.42,17.16,0
"5750",0.73,99999,2.4,11.42,15.42,0
"5751",0.73,99999,2.4,11.42,17.16,0
"5752",0.27,99999,1.95,11.05,15.42,0
"5753",0.27,99999,1.95,11.05,17.15,0
"5754",0.73,99999,1.95,11.05,15.42,0
"5755",0.73,99999,1.95,11.05,17.15,0
"5756",0.27,99999,1.95,11.05,15.42,0
"5757",0.27,99999,1.95,11.05,17.15,0
"5758",0.73,99999,1.95,11.05,15.42,0
"5759",0.73,99999,1.95,11.05,17.15,0
"5760",0.27,99999,2.83,11.48,15.42,0
"5761",0.27,99999,2.83,11.48,16.83,0
"5762",0.73,99999,2.83,11.48,15.42,0
"5763",0.73,99999,2.83,11.48,16.45,0
"5764",0.27,99999,2.4,11.26,15.42,0
"5765",0.27,99999,2.4,11.26,16.91,0
"5766",0.73,99999,2.4,11.26,15.42,0
"5767",0.73,99999,2.4,11.26,16.91,0
"5768",0.27,99999,2.56,11.25,15.42,0
"5769",0.27,99999,2.56,11.25,16.83,0
"5770",0.73,99999,2.56,11.25,15.42,0
"5771",0.73,99999,2.56,11.25,16.61,0
"5772",0.27,99999,2.56,11.25,15.42,0
"5773",0.27,99999,2.56,11.25,16.81,0
"5774",0.73,99999,2.56,11.25,15.42,0
"5775",0.73,99999,2.56,11.25,16.61,0
"5776",0.27,99999,2.83,11.47,15.42,0
"5777",0.27,99999,2.83,11.47,16.45,0
"5778",0.73,99999,2.83,11.47,15.42,0
"5779",0.73,99999,2.83,11.47,16.45,0
"5780",0.27,99999,2.83,11.3,15.42,0
"5781",0.27,99999,2.83,11.3,16.4,0
"5782",0.73,99999,2.83,11.3,15.42,0
"5783",0.73,99999,2.83,11.3,16.03,0
"5784",0.27,99999,2.56,11.05,15.42,0
"5785",0.27,99999,2.56,11.05,16.36,0
"5786",0.73,99999,2.56,11.05,15.42,0
"5787",0.73,99999,2.56,11.05,16.56,0
"5788",0.27,99999,2.56,11.05,15.42,0
"5789",0.27,99999,2.56,11.05,16.43,0
"5790",0.73,99999,2.56,11.05,15.42,0
"5791",0.73,99999,2.56,11.05,16.56,0
"5801",0.58,1e+05,2.83,10.11,15.82,0
"5802",0.25,1e+05,2.83,10.11,15.82,0
"5810",1,2e+05,3.3,10.46,17.28,0
"5811",1,2e+05,3.26,10.46,17.28,0
"5812",1,2e+05,3.09,10.5,17.36,0
"5820",1,1e+05,2.89,9.67,16.41,0
"5862",0.16,75000,1.79,9.19,16.61,0
"5863",0.76,75000,1.79,9.19,17.06,0
"5864",0.08,75000,1.79,9.19,17.06,0
"5865",0.41,1e+05,2.89,10.09,15.72,0
"5866",0.45,1e+05,2.89,10.09,15.69,0
"5867",0.55,1e+05,2.89,10.12,15.69,0
"5871",1,250000,2.3,10.45,17.6,0
"5872",0.87,2e+05,2.64,11.26,16.59,0
"5873",1,2e+05,2.83,11.27,16.21,0
"5874",1,2e+05,2.89,11.27,16.01,0
"5875",1,2e+05,2.89,11.44,15.52,0
"5876",1,250000,3.09,11.51,16.21,0
"5880",1,2e+05,3,10.23,16.82,0
"5881",1,250000,1.95,11.36,17.43,0
"5882",1,250000,1.95,11.35,17.52,0
"5883",1,2e+05,1.79,11.34,17.43,0
"5884",1,2e+05,3.09,11.26,14.91,0
"5885",1,2e+05,3.09,11.26,14.91,0
"5886",1,1e+05,3.18,9.6,14.51,0
"5888",1,1e+05,2.94,10.49,16.56,0
"5889",1,1e+05,2.94,9.97,16.38,0
"5892",0.5,1e+05,2.64,10.16,16.3,0
"5893",0.5,1e+05,2.64,10.16,16.3,0
"5898",0.68,175000,2.4,11.43,16.77,0
"5899",0.32,175000,2.4,11.43,16.77,0
"5928",1,175000,3.04,11.17,16.45,0
"5929",1,175000,3.04,11.17,16.45,0
"5959",1,150000,3.09,11.25,14.73,1
"5964",1,150000,3,10.12,14.73,2
"5975",1,1e+05,1.95,9.83,16.55,0
"5977",1,1e+05,1.79,9.83,16.55,0
"5987",0.73,99999,1.95,11.43,15.42,0
"5988",0.73,99999,1.95,11.43,17.07,0
"5989",0.73,99999,1.95,11.45,15.42,0
"5990",0.73,99999,1.95,11.45,17.07,0
"5991",0.73,99999,1.95,11.43,15.42,0
"5992",0.73,99999,1.95,11.43,17.13,0
"5993",0.73,99999,1.95,11.59,15.42,0
"5994",0.73,99999,1.95,11.59,17.22,0
"5995",0.73,99999,1.79,11.45,15.42,0
"5996",0.73,99999,1.79,11.45,17.16,0
"5997",0.73,99999,1.79,11.41,15.42,0
"5998",0.73,99999,1.79,11.41,17.13,0
"6025",1,5e+05,3,10.33,17.32,0
"6033",0.97,5e+05,3,10.33,17.32,0
"6228",1,2e+05,3.22,9.61,15.61,0
"6274",0.13,1e+05,3.09,8.26,15.5,1
"6337",1,65000,2.56,11.23,17.01,0
"6338",1,65000,2.56,11.23,17.01,0
"6340",0.49,45000,2.3,10.28,16.68,0
"6341",0.59,45000,2.3,10.28,16.68,0
"6358",1,150000,2.48,11.06,16.91,0
"6366",1,1e+05,3.04,10.01,15.5,1
"6399",0.54,1e+05,2.2,9.35,16.52,0
"6400",0.47,75000,2.2,9.35,16.52,1
"6401",0.54,1e+05,3.22,9.09,16.28,0
"6402",0.47,75000,3.22,9.09,16.28,0
"6403",0.54,1e+05,2.94,9.88,16.12,0
"6404",0.47,1e+05,2.94,9.88,16.12,0
"6405",0.54,1e+05,2.94,9.88,16.12,0
"6406",0.47,1e+05,2.94,9.88,16.12,1
"6407",0.54,1e+05,2.94,9.88,16.12,0
"6408",0.47,1e+05,2.94,9.88,16.12,0
"6414",1,1e+05,3.3,8.26,14.97,0
"6415",0.54,1e+05,3.33,8.26,15.02,0
"6416",0.47,50000,3.33,8.26,15.02,0
"6417",0.54,1e+05,2.94,9.85,16.91,0
"6418",0.47,1e+05,2.94,9.85,16.91,0
"6419",0.47,75000,2.94,8.97,16.77,1
"6420",0.47,75000,2.64,9.56,16.5,0
"6423",0.54,1e+05,2.94,9.87,16.12,0
"6424",0.47,1e+05,2.94,9.87,16.12,0
"6425",0.54,1e+05,2.94,9.85,16.12,0
"6426",0.47,1e+05,2.94,9.85,16.12,0
"6427",0.54,1e+05,3,9.81,16.94,0
"6428",0.47,1e+05,3,9.81,16.94,0
"6429",1,150000,2.83,9.75,16.45,0
"6430",1,150000,2.89,9.77,16.45,0
